民國年月日,線別,車站,電梯位置,編號,保養週期,保養時段
1150908,Tamsui-Xinyi Line(淡水信義線),R19(石牌站),P(月台),2,1M(月檢),N(夜保)
1150912,Tamsui-Xinyi Line(淡水信義線),R20(唭哩岸站),P(月台),1,1M(月檢),N(夜保)
1150912,Tamsui-Xinyi Line(淡水信義線),R21(奇岩站),P(月台),1,1M(月檢),N(夜保)
1150914,Tamsui-Xinyi Line(淡水信義線),R22(北投站),P(月台),1,1M(月檢),D(日保)
1150916,Tamsui-Xinyi Line(淡水信義線),R22(北投站),P(月台),2,1M(月檢),D(日保)
1150916,Tamsui-Xinyi Line(淡水信義線),R22(北投站),P(月台),3,1M(月檢),D(日保)
1150911,Tamsui-Xinyi Line(淡水信義線),R22(北投站),P(月台),4,1M(月檢),D(日保)
1150911,Tamsui-Xinyi Line(淡水信義線),R22(北投站),P(月台),5,1M(月檢),D(日保)
1150911,Tamsui-Xinyi Line(淡水信義線),R22(北投站),P(月台),6,1M(月檢),D(日保)
1150913,Tamsui-Xinyi Line(淡水信義線),R22A(新北投站),P(月台),1,1M(月檢),N(夜保)
1150914,Tamsui-Xinyi Line(淡水信義線),R23(復興崗站),P(月台),1,1Y(年檢),N(夜保)
1150913,Tamsui-Xinyi Line(淡水信義線),R23(復興崗站),P(月台),2,1M(月檢),N(夜保)
1150917,Tamsui-Xinyi Line(淡水信義線),R24(忠義站),P(月台),1,1M(月檢),N(夜保)
1150915,Tamsui-Xinyi Line(淡水信義線),R24(忠義站),P(月台),2,1Y(年檢),N(夜保)
1150916,Tamsui-Xinyi Line(淡水信義線),R25(關渡站),P(月台),1,1Y(年檢),N(夜保)
1150917,Tamsui-Xinyi Line(淡水信義線),R25(關渡站),P(月台),2,1M(月檢),N(夜保)
1150908,Tamsui-Xinyi Line(淡水信義線),R25(關渡站),K(停車場),3,1Y(年檢),D(日保)
1150918,Tamsui-Xinyi Line(淡水信義線),R26(竹圍站),P(月台),1,1M(月檢),N(夜保)
1150918,Tamsui-Xinyi Line(淡水信義線),R26(竹圍站),P(月台),2,1M(月檢),N(夜保)
1150919,Tamsui-Xinyi Line(淡水信義線),R27(紅樹林站),P(月台),1,1M(月檢),N(夜保)
1150919,Tamsui-Xinyi Line(淡水信義線),R27(紅樹林站),P(月台),2,1M(月檢),N(夜保)
1150919,Tamsui-Xinyi Line(淡水信義線),R27(紅樹林站),K(停車場),3,1M(月檢),N(夜保)
1150920,Tamsui-Xinyi Line(淡水信義線),R28(淡水站),K(停車場),1,1M(月檢),N(夜保)
1150920,Tamsui-Xinyi Line(淡水信義線),R28(淡水站),P(月台),2,1M(月檢),N(夜保)
1150901,Songshan-Xindian Line(松山新店線),G01(新店站),P(月台),1,1M(月檢),A(日保)
1150901,Songshan-Xindian Line(松山新店線),G01(新店站),K(停車場),2,1M(月檢),P(日保)
1150902,Songshan-Xindian Line(松山新店線),G01(新店站),P(月台),3,1Y(年檢),D(日保)
1150901,Songshan-Xindian Line(松山新店線),G01(新店站),K(停車場),4,1M(月檢),P(日保)
1150901,Songshan-Xindian Line(松山新店線),G01(新店站),K(停車場),5,1M(月檢),A(日保)
1150907,Songshan-Xindian Line(松山新店線),G02(新店區公所站),P(月台),1,1M(月檢),P(日保)
1150907,Songshan-Xindian Line(松山新店線),G02(新店區公所站),P(月台),2,1M(月檢),P(日保)
1150908,Songshan-Xindian Line(松山新店線),G03(七張站),P(月台),1,1M(月檢),P(日保)
1150908,Songshan-Xindian Line(松山新店線),G03(七張站),P(月台),2,1M(月檢),P(日保)
1150915,Songshan-Xindian Line(松山新店線),G03A(小碧潭站),EX2(出口2),1,1M(月檢),D(日保)
